productId,evaluationId,buyerCountry,buyerName,buyerEval,starRating,feedback,feedbackTranslated,evalDate,skuInfo,logistics,upVoteCount,downVoteCount,hasImage,hasFollowUp,addFeedback,anonymous,label1,labelValue1,label2,labelValue2,label3,labelValue3
3256808363596774,60092823137140129,US,AliExpress Shopper,100,5.0,Buona qualità; consegna veloce. Molto soddisfatto dell'acquisto. Consigliato.,Good quality; fast delivery. Very satisfied with the purchase. Recommended.,25 Sep 2025,Color:black,Aliexpress Selection Standard,0,0,0,0,,True,,,,,,
3256808363596774,30096273310796453,US,AliExpress Shopper,100,5.0,"livraison rapide , ils ont l air de bien fonctionner","Fast delivery, they seem to work well.",10 Nov 2025,Color:black,Aliexpress Selection Standard,0,0,0,0,,True,Quality of sound,Fast,Durability,Fast,User Friendly ,Good
3256808363596774,30092921387170216,US,l***A,80,4.0,"El botón del oído es un poco grande, pero se escucha muy bien","The ear button is a bit large, but it sounds very good.",17 Aug 2025,Color:black,Aliexpress Selection Premium shipping,0,0,0,0,,False,User Friendly ,Not bad ,,,,
3256808363596774,30091729726095313,US,AliExpress Shopper,80,4.0,"oreillettes reconnues sans problème, bon son et agreables à porter","Headphones recognized without issue, good sound and comfortable to wear.",15 Jul 2025,Color:black,Aliexpress Selection Standard,0,0,0,0,,True,Quality of sound,Fits ok ,Durability,Fits ok ,User Friendly ,Good
3256808363596774,30093369366944517,US,AliExpress Shopper,100,5.0,,,29 Aug 2025,Color:black,Aliexpress Selection Premium shipping,0,0,0,0,,True,Quality of sound,Fits ok ,Durability,Poor,User Friendly ,Not bad 
3256808363596774,60094164636754535,US,R***o,100,5.0,,,04 Dec 2025,Color:black,Aliexpress Selection Standard,0,0,0,0,,False,Quality of sound,Fits ok ,Durability,Fits ok ,User Friendly ,Good
3256808363596774,60093037989284114,US,AliExpress Shopper,100,5.0,,,07 Oct 2025,Color:black,Aliexpress Selection Standard,0,0,0,0,,True,,,,,,
3256808363596774,30092213216868257,US,M***a,100,5.0,,,02 Aug 2025,Color:black,Aliexpress Selection Standard,0,0,0,0,,False,Quality of sound,Fast,Durability,Fast,,
3256808363596774,60093297113797200,US,AliExpress Shopper,100,5.0,,,21 Oct 2025,Color:black,Aliexpress Selection Standard,0,0,0,0,,True,,,,,,
3256808363596774,60092846119954964,US,V***e,100,5.0,,,06 Oct 2025,Color:black,Aliexpress Selection Standard,0,0,0,0,,False,,,,,,
3256808363596774,30096897162832454,US,AliExpress Shopper,80,4.0,,,02 Dec 2025,Color:black,Aliexpress Selection Standard,0,0,0,0,,True,Quality of sound,Fits ok ,Durability,Poor,User Friendly ,Not bad 
3256808363596774,30093301272453576,US,O***n,40,2.0,Звук дуже поганий.Дуже розчарована,The sound is very bad. Very disappointed.,02 Sep 2025,Color:black,Aliexpress Selection Standard,0,0,1,0,,False,Quality of sound,Poor,Durability,Fits ok ,User Friendly ,Not bad 
3256808363596774,60091266151064232,US,P***z,20,1.0,"Son muy baratos, a mi me costaron 10 centimos y ni por esa cantidad de dinero los recomiendo, los graves son inexistentes, es puro agudo con mucha distorsion, por 30€ tienes auriculares de este tipo mucho mejores que no harán que tus timpanos sangren.","They are very cheap, they cost me 10 cents and I don't recommend them for that amount of money, the basses are nonexistent, it's pure treble with a lot of distortion, for €30 you can get much better headphones of this type that won't make your eardrums bleed.",09 Jul 2025,Color:black,Aliexpress Selection Premium shipping,0,0,0,0,,False,Quality of sound,Poor,Durability,Poor,,
3256808363596774,60091653976554554,US,H***H,20,1.0,gargabe last 1 hour  seller not polite,"Gargabe last 1 hour  
 Seller not polite",18 Jul 2025,Color:black,Aliexpress Selection Standard,0,0,0,0,,False,,,,,,
3256808363596774,30093373299164973,US,V***k,60,3.0,,,04 Sep 2025,Color:black,Aliexpress Selection Standard,0,0,0,0,,False,,,,,,
3256808363596774,60092477956425537,US,AliExpress Shopper,20,1.0,The left earpiece is not responding.,The left earpiece is not responding.,05 Sep 2025,Color:black,Aliexpress Selection Standard,0,0,0,0,,True,Quality of sound,Poor,Durability,Poor,,
3256808363596774,30093521270684148,US,s***s,20,1.0,Звук отвратительный,The sound is disgusting.,07 Sep 2025,Color:black,Aliexpress Selection Standard,0,0,0,0,,False,Quality of sound,Poor,Durability,Poor,User Friendly ,Difficult
3256808363596774,30091189508526133,IT,V***e,100,5.0,"hola les comento que este producto lo gane comprando y jugando prize land  en aliexpress pense que no valia la pena por ser un juego y que seria desechable el premio , pero o sorpresa los audifonos son de muy buena calidad pesados resistentes al tacto y el cargador es de muy buen material la verdad felicito al vendedor y gracias aliexpress , llegaron bien empacados y muy pero muy rapido. gracias lo recomiendo 100%","Hello, I'm telling you that I won this product by buying and playing Prize Land on Aliexpress. I thought it wasn't worth it because it's a game and the prize would be disposable, but what a surprise! The headphones are of very good quality, heavy and resistant to touch, and the charger is made of very good material. I truly congratulate the seller and thank Aliexpress. They arrived well-packaged and very, very quickly. Thank you, I recommend it 100%.",11 Jul 2025,Color:black,Aliexpress Selection Standard,0,0,1,1,"hola les comento que este producto lo gane comprando y jugando prize land  en aliexpress pense que no valia la pena por ser un juego y que seria desechable el premio , pero o sorpresa los audifonos son de muy buena calidad pesados resistentes al tacto y el cargador es de muy buen material los recomiendo 100% y recomiendo al vendedor , llegaron muy bien y demas de rapido cumplieron todos los requisitos que se podian desear . gracias",False,Quality of sound,Fast,Durability,Fast,User Friendly ,Good
3256808363596774,30093203874568773,UA,M***a,100,5.0,"Стекло идеально подошло по размеру, легко установилось без пузырей. Вроде экран хорошо отзывается на компания, но вот разблокировка по отпечатку на экране не всегда срабатывает и надо дольше держать палец. В комплекте нет салфеток и стикеров для устранения пылинок.","The glass fit perfectly in size and was easily installed without bubbles. The screen seems to respond well to the company, but fingerprint unlocking on the screen doesn't always work and you have to hold your finger longer. 
 The set does not include wipes or stickers for removing dust particles.",10 Sep 2025,Color:black,Aliexpress Selection Standard,0,0,1,1,"Ошиблась с первым отзывом. Наушники получила в подарок за полив дерева. Звук очень громкий, прям слишком, но качество плохое. Нет низких, басов. Звучат как моно наушники когда-то были. Наушники в кейсе лежат неправильно как-то и зарядка вечно прерывается. 3 звезды и то только за то, что это подарок. Но, к сожалению, я уже не могу исправить оценку.",False,Quality of sound,Fits ok ,Durability,Fits ok ,User Friendly ,Good
3256808363596774,30094798858908632,UA,A***o,100,5.0,"Дякую продавцю, прийшло дуже швидко до 10 днів, отримала через міст експрес. Навушники робочі, на якість ще не випробувала. Отримала в якості подарунку за поливання! Дуже дякую ❣️","Thank you to the seller, it arrived very quickly within 10 days, received through express delivery. The headphones are working, haven't tried the quality yet. Received as a gift for watering! Thank you very much ❣️",10 Oct 2025,Color:black,Aliexpress Selection Standard,0,0,1,0,,False,Quality of sound,Fits ok ,Durability,Fits ok ,User Friendly ,Good
3256808363596774,60093384848717178,BR,a***r,100,5.0,"Demorou bastante para chegar, mas é bonito e agora vamos ver pelo uso de ele é bom ou não, bonito com certeza ele é. A caixa bonita porém o encaixe da tampinha é de qualidade bem baixa mas pelo preço que paguei tá valendo","It took quite a while to arrive, but it's pretty and now we'll see if its use is good or not. It's definitely pretty. The box is nice, but the lid's fit is of very low quality, but for the price I paid, it's worth it.",21 Oct 2025,Color:black,Aliexpress Selection Standard,0,0,1,0,,False,Quality of sound,Fits ok ,Durability,Fits ok ,,
